hostname,ip address,mac address,vlan,profile,OS,VLAN Description,model,vendor,last activity,Status,risk score
Prod-SharePoint-AF7,10.10.30.13,00:50:56:9d:9e:49,300,VMware,Windows,Datacenter & Business Apps,,"VMware, Inc.",2026-05-22T14:53:08.501Z,Active,88
Joe-Gaming-iPAD,10.54.100.117,00:e0:4c:68:07:15,922,iPad,,Corp super block,iPad,Apple Inc.,2026-05-22T14:53:08.501Z,Active,90
Hikvision IP Camera,192.168.1.17,c4:2f:90:89:90:b9,120,Hikvision Camera,Linux,Primary LAN,HIKVISION DS-2CD753F-EZ,Hikvision,2026-05-22T14:53:08.501Z,Active,100
Hikvision-Camera,10.10.60.67,58:03:fb:b6:a4:cf,60,Hikvision Camera,,Building Management,HIKVISION DS-2CD753F-EZ,Hikvision,2026-05-22T14:53:08.501Z,Active,20
axis-00408cfc34ca,10.10.60.21,00:40:8c:fc:34:ca,120,Axis Communications Network Camera,Linux,Corp super block,M3057,Axis Communications,2026-05-22T14:53:08.501Z,Active,100
OSIsoft PI Historian,10.30.10.11,00:50:56:b7:04:ff,250,OSIsoft PI Server,,OT Historian,PI Server,OSIsoft,2026-05-22T14:53:08.501Z,Active,42
Control System Engineering Workstation,10.30.20.5,5c:88:16:ed:fd:1a,20,Control System Engineering Workstation,Windows,Manufacturing Assembly,ThinkStation P300,Lenovo,2026-05-22T14:53:08.501Z,Active,100
Rockwell Cell 2 Safety PLC,10.30.20.21,34:c0:f9:fb:67:52,20,Rockwell Automation PLC,,Manufacturing Assembly,LOGIX5480,Rockwell Automation,2026-05-22T14:53:08.501Z,Active,100
F5 Networks Device,10.10.60.52,00:94:a1:e5:42:86,2,F5 Networks Device,,VLAN for internal devices,Device XXX F5,F5 Networks,2026-05-22T14:53:08.501Z,Active,96
BrightSign Signage Media Player,10.10.60.54,90:ac:3f:24:2a:59,110,BrightSign Signage Media Player,BrightSign OS,Primary LAN,XT1144,BrightSign,2026-05-22T14:53:08.501Z,Active,96
